-3866 , -3866
-3973 , -3973
-4109 , -4109
-4279 , -4279
-4596 , -4596
-4661 , -4661
-4585 , -4585
-4635 , -4635
-4352 , -4352
-4047 , -4047
-4192 , -4192
-4231 , -4231
-4198 , -4198
-3996 , -3996
-3526 , -3526
-3607 , -3607
-3748 , -3748
-3854 , -3854
-3758 , -3758
-2966 , -2966
-2186 , -2186
-1632 , -1632
-1192 , -1192
-486 , -486
615 , 615
1919 , 1919
3483 , 3483
4775 , 4775
5232 , 5232
5718 , 5718
6674 , 6674
7248 , 7248
7840 , 7840
8173 , 8173
7788 , 7788
7704 , 7704
7790 , 7790
7963 , 7963
8335 , 8335
8456 , 8456
8287 , 8287
7951 , 7951
8026 , 8026
8369 , 8369
8174 , 8174
7389 , 7389
6081 , 6081
4705 , 4705
3669 , 3669
2284 , 2284
827 , 827
-381 , -381
-1719 , -1719
-2855 , -2855
-3584 , -3584
-3729 , -3729
-3779 , -3779
-3944 , -3944
-3900 , -3900
-4091 , -4091
-4406 , -4406
-4386 , -4386
-4206 , -4206
-4160 , -4160
-4269 , -4269
-4456 , -4456
-4245 , -4245
-3729 , -3729
-3352 , -3352
-2998 , -2998
-2568 , -2568
-2169 , -2169
-1607 , -1607
-788 , -788
-181 , -181
113 , 113
421 , 421
753 , 753
649 , 649
673 , 673
1084 , 1084
1357 , 1357
1807 , 1807
2323 , 2323
2880 , 2880
3617 , 3617
4319 , 4319
4912 , 4912
5385 , 5385
5731 , 5731
5792 , 5792
5640 , 5640
5724 , 5724
5940 , 5940
5919 , 5919
5726 , 5726
5361 , 5361
5176 , 5176
5452 , 5452
5775 , 5775
5924 , 5924
5958 , 5958
5934 , 5934
6045 , 6045
6097 , 6097
5990 , 5990
5874 , 5874
5569 , 5569
4976 , 4976
4476 , 4476
4290 , 4290
4003 , 4003
3598 , 3598
3284 , 3284
3182 , 3182
3223 , 3223
3321 , 3321
3515 , 3515
3652 , 3652
3478 , 3478
2784 , 2784
2204 , 2204
1879 , 1879
1375 , 1375
792 , 792
273 , 273
-128 , -128
-585 , -585
-1144 , -1144
-1416 , -1416
-1249 , -1249
-1211 , -1211
-1470 , -1470
-1644 , -1644
-1756 , -1756
-2006 , -2006
-2605 , -2605
-3453 , -3453
-4219 , -4219
-4831 , -4831
-5381 , -5381
-6067 , -6067
-6605 , -6605
-6905 , -6905
-7312 , -7312
-7688 , -7688
-7821 , -7821
-7513 , -7513
-7072 , -7072
-6932 , -6932
-6909 , -6909
-6736 , -6736
-6385 , -6385
-6109 , -6109
-5958 , -5958
-5474 , -5474
-4720 , -4720
-4372 , -4372
-4019 , -4019
-3541 , -3541
-3131 , -3131
-2227 , -2227
-1483 , -1483
-1141 , -1141
-766 , -766
-700 , -700
-666 , -666
-549 , -549
-368 , -368
99 , 99
455 , 455
766 , 766
1289 , 1289
1909 , 1909
2636 , 2636
3298 , 3298
3968 , 3968
4851 , 4851
5371 , 5371
5587 , 5587
6019 , 6019
5908 , 5908
4899 , 4899
3753 , 3753
2826 , 2826
1876 , 1876
731 , 731
-162 , -162
-553 , -553
-1186 , -1186
-1629 , -1629
-1118 , -1118
-367 , -367
221 , 221
306 , 306
372 , 372
939 , 939
1152 , 1152
944 , 944
226 , 226
-752 , -752
-1425 , -1425
-2026 , -2026
-2337 , -2337
